ID_CLIENTE,IDADE,RENDA_MENSAL,SCORE_CREDITO,TEMPO_RESIDENCIA,DIVIDA_ATUAL,HISTORICO_INADIMPLENCIA,EMPREGO,ESTADO_CIVIL,TEMPO_EMPREGO,VALOR_SOLICITADO,APROVADO
44,77,5487.68,618,18,2221.79,SIM,AUTÔNOMO,SOLTEIRO,26,16653.0,APROVADO
45,33,1000.0,942,7,1868.32,NÃO,CLT,SOLTEIRO,27,106284.0,APROVADO
46,32,1000.0,476,30,515.82,NÃO,AUTÔNOMO,SOLTEIRO,17,16192.0,REPROVADO
47,79,3663.88,946,10,31.09,NÃO,CLT,SOLTEIRO,24,256187.0,APROVADO
48,79,1000.0,510,7,591.77,NÃO,CLT,CASADO,14,88676.0,REPROVADO
49,64,7264.32,625,24,199.5,NÃO,AUTÔNOMO,CASADO,26,240218.0,REPROVADO
50,79,1000.0,781,19,154.01,SIM,CLT,SOLTEIRO,14,115638.0,APROVADO
51,68,6790.03,685,37,499.38,NÃO,CLT,DIVORCIADO,29,111406.0,REPROVADO
52,61,9993.38,793,6,104.34,NÃO,AUTÔNOMO,CASADO,10,184452.0,REPROVADO
53,72,20000.0,338,12,3157.42,NÃO,AUTÔNOMO,CASADO,13,96868.0,APROVADO
54,69,4059.19,731,38,48.71,NÃO,AUTÔNOMO,CASADO,27,89786.0,APROVADO
55,74,20000.0,824,9,513.11,NÃO,CLT,CASADO,7,237246.0,REPROVADO
56,20,1000.0,671,7,177.58,SIM,AUTÔNOMO,SOLTEIRO,10,52586.0,APROVADO
57,54,1000.0,515,19,1167.36,NÃO,CLT,CASADO,13,82728.0,REPROVADO
58,68,1000.0,218,16,82.09,NÃO,AUTÔNOMO,DIVORCIADO,21,197788.0,REPROVADO
59,24,17483.27,448,10,791.43,SIM,CLT,SOLTEIRO,24,135179.0,REPROVADO
60,38,14619.81,887,15,1483.25,NÃO,CLT,CASADO,9,261815.0,REPROVADO
61,26,4701.57,264,36,2996.93,NÃO,AUTÔNOMO,CASADO,35,161811.0,APROVADO
62,56,1000.0,746,31,1199.08,NÃO,AUTÔNOMO,SOLTEIRO,38,26114.0,REPROVADO
63,35,14261.8,770,25,104.8,NÃO,DESEMPREGADO,DIVORCIADO,23,61457.0,APROVADO
64,21,1000.0,687,36,92.69,NÃO,CLT,SOLTEIRO,5,173071.0,REPROVADO
65,42,1000.0,605,8,1315.27,NÃO,CLT,SOLTEIRO,32,262781.0,APROVADO
66,77,1000.0,911,34,242.49,NÃO,DESEMPREGADO,CASADO,21,217975.0,REPROVADO
67,31,1000.0,940,2,592.83,NÃO,CLT,CASADO,19,170475.0,REPROVADO
68,67,20000.0,529,30,3755.92,NÃO,AUTÔNOMO,CASADO,10,110621.0,REPROVADO
69,75,1000.0,497,6,1714.28,NÃO,AUTÔNOMO,CASADO,34,211806.0,REPROVADO
70,26,20000.0,893,1,1874.66,SIM,AUTÔNOMO,SOLTEIRO,34,173847.0,REPROVADO
71,43,20000.0,804,24,1971.63,NÃO,CLT,SOLTEIRO,0,230236.0,REPROVADO
72,70,1000.0,430,39,966.39,NÃO,AUTÔNOMO,DIVORCIADO,25,23555.0,REPROVADO
73,19,1000.0,442,11,1362.32,NÃO,CLT,SOLTEIRO,13,221625.0,REPROVADO
74,37,1000.0,409,29,444.66,NÃO,DESEMPREGADO,CASADO,1,49539.0,APROVADO
75,45,15299.77,586,29,6467.07,NÃO,CLT,SOLTEIRO,4,274850.0,REPROVADO
76,64,1000.0,525,28,327.98,NÃO,CLT,CASADO,38,206395.0,REPROVADO
77,77,1000.0,918,40,891.62,SIM,CLT,DIVORCIADO,14,220495.0,REPROVADO
78,24,1000.0,903,10,331.37,NÃO,AUTÔNOMO,SOLTEIRO,20,156069.0,REPROVADO
79,61,20000.0,218,22,118.86,NÃO,AUTÔNOMO,CASADO,28,261307.0,APROVADO
80,78,1000.0,683,16,838.37,NÃO,CLT,CASADO,20,176931.0,APROVADO
81,25,9969.28,913,12,435.95,NÃO,AUTÔNOMO,CASADO,37,36546.0,APROVADO
82,64,10745.06,691,32,875.2,NÃO,AUTÔNOMO,CASADO,35,144336.0,REPROVADO
83,52,1000.0,343,0,817.98,NÃO,CLT,SOLTEIRO,13,218476.0,REPROVADO
84,31,1000.0,420,39,781.45,NÃO,CLT,SOLTEIRO,32,72943.0,REPROVADO
85,34,2129.29,291,12,131.59,NÃO,CLT,CASADO,22,89347.0,REPROVADO
86,53,1000.0,366,37,580.14,NÃO,AUTÔNOMO,DIVORCIADO,7,158911.0,APROVADO
87,67,20000.0,882,2,1671.33,NÃO,DESEMPREGADO,CASADO,19,101590.0,REPROVADO
88,57,1000.0,421,15,378.55,SIM,CLT,SOLTEIRO,37,36778.0,REPROVADO
89,21,1000.0,201,6,586.68,SIM,CLT,SOLTEIRO,37,67964.0,APROVADO
90,19,7811.18,375,2,680.89,NÃO,CLT,DIVORCIADO,0,198498.0,REPROVADO
91,79,1000.0,950,13,1985.82,NÃO,CLT,CASADO,3,115657.0,REPROVADO
92,23,1000.0,455,15,1065.95,NÃO,CLT,CASADO,13,150072.0,APROVADO
93,71,20000.0,324,3,105.59,NÃO,CLT,CASADO,21,232546.0,REPROVADO
94,59,1000.0,946,30,2003.75,NÃO,CLT,CASADO,11,269271.0,APROVADO
95,21,13218.42,220,12,1784.18,SIM,CLT,SOLTEIRO,24,203943.0,REPROVADO
96,71,1000.0,645,26,1400.99,NÃO,CLT,CASADO,6,107821.0,APROVADO
97,46,1000.0,448,0,627.47,NÃO,CLT,DIVORCIADO,6,255355.0,REPROVADO
98,80,1000.0,293,24,1416.94,SIM,CLT,CASADO,38,66721.0,APROVADO
99,35,1000.0,620,36,651.51,SIM,AUTÔNOMO,SOLTEIRO,5,69564.0,APROVADO
100,43,1000.0,571,10,1334.17,NÃO,CLT,SOLTEIRO,18,264783.0,APROVADO
101,61,1000.0,658,8,2121.18,NÃO,CLT,SOLTEIRO,22,273771.0,APROVADO
102,51,1000.0,702,6,2212.21,NÃO,CLT,DIVORCIADO,9,262019.0,REPROVADO
103,27,1000.0,396,13,606.2,NÃO,CLT,SOLTEIRO,7,135719.0,APROVADO
104,79,1000.0,836,29,1961.43,NÃO,CLT,CASADO,35,46031.0,REPROVADO
105,53,20000.0,636,23,106.98,NÃO,CLT,SOLTEIRO,6,271901.0,REPROVADO
106,31,20000.0,972,2,107.38,NÃO,CLT,SOLTEIRO,2,45816.0,APROVADO
107,48,11114.2,278,38,794.66,SIM,CLT,CASADO,7,170558.0,APROVADO
108,65,15262.65,384,26,1055.11,NÃO,CLT,CASADO,12,85467.0,REPROVADO
109,32,20000.0,603,0,166.05,NÃO,AUTÔNOMO,SOLTEIRO,30,22663.0,APROVADO
110,25,13425.52,311,37,639.0,NÃO,CLT,SOLTEIRO,12,46809.0,REPROVADO
111,31,14884.44,651,25,99.12,SIM,AUTÔNOMO,CASADO,25,221134.0,REPROVADO
112,40,1000.0,305,5,921.55,NÃO,CLT,SOLTEIRO,1,279335.0,APROVADO
113,77,1000.0,385,11,1931.67,NÃO,CLT,DIVORCIADO,2,12385.0,REPROVADO
114,74,1346.16,225,37,1338.03,NÃO,CLT,SOLTEIRO,14,82847.0,APROVADO
115,79,1000.0,256,34,475.28,SIM,CLT,CASADO,1,124279.0,REPROVADO
116,57,1000.0,834,9,5082.21,NÃO,CLT,SOLTEIRO,16,169725.0,REPROVADO
117,38,1000.0,470,8,1087.48,SIM,CLT,SOLTEIRO,37,143933.0,REPROVADO
118,33,1000.0,668,22,1688.74,NÃO,AUTÔNOMO,CASADO,10,84094.0,REPROVADO
119,62,1000.0,200,29,1107.75,NÃO,AUTÔNOMO,SOLTEIRO,4,13587.0,APROVADO
120,35,8789.05,919,21,4548.44,NÃO,CLT,CASADO,5,198369.0,REPROVADO
121,64,20000.0,511,8,1722.38,NÃO,CLT,CASADO,2,86757.0,APROVADO
122,70,17940.44,857,18,732.77,NÃO,CLT,SOLTEIRO,22,17099.0,REPROVADO
123,41,14723.75,429,7,457.09,SIM,CLT,CASADO,31,43433.0,APROVADO
124,43,1000.0,249,3,1146.19,NÃO,CLT,CASADO,3,46174.0,APROVADO
125,42,4386.05,839,4,892.14,NÃO,CLT,CASADO,28,175790.0,APROVADO
126,77,1000.0,751,18,992.5,NÃO,AUTÔNOMO,DIVORCIADO,16,107180.0,APROVADO
127,77,7815.11,868,17,420.09,NÃO,CLT,SOLTEIRO,30,281370.0,APROVADO
128,77,1000.0,354,28,559.89,NÃO,CLT,SOLTEIRO,34,128723.0,REPROVADO
129,62,20000.0,378,18,816.66,SIM,DESEMPREGADO,SOLTEIRO,20,55816.0,APROVADO
130,58,3055.56,676,5,1828.11,NÃO,CLT,DIVORCIADO,22,225864.0,REPROVADO
131,46,5004.62,281,4,1439.31,NÃO,DESEMPREGADO,SOLTEIRO,30,289467.0,REPROVADO
132,32,1000.0,995,4,126.31,NÃO,AUTÔNOMO,SOLTEIRO,0,174857.0,APROVADO
133,62,1000.0,478,7,281.77,NÃO,CLT,CASADO,10,291924.0,REPROVADO
134,18,20000.0,698,26,27.02,SIM,CLT,DIVORCIADO,0,15727.0,APROVADO
135,42,13112.07,264,36,7.99,SIM,DESEMPREGADO,DIVORCIADO,6,75828.0,REPROVADO
136,24,1000.0,746,37,254.09,NÃO,CLT,CASADO,40,141352.0,REPROVADO
137,26,1000.0,617,36,1606.05,NÃO,CLT,CASADO,12,129600.0,REPROVADO
138,41,20000.0,574,17,2351.23,SIM,CLT,SOLTEIRO,19,59023.0,REPROVADO
139,18,1000.0,242,25,497.2,NÃO,CLT,CASADO,5,86117.0,REPROVADO
140,61,8448.64,364,15,828.28,SIM,CLT,SOLTEIRO,29,92155.0,APROVADO
141,25,20000.0,862,21,1224.35,NÃO,CLT,CASADO,5,101095.0,APROVADO
142,41,1000.0,768,22,3056.26,NÃO,CLT,SOLTEIRO,33,133385.0,REPROVADO
143,80,17821.39,663,2,2441.07,NÃO,CLT,CASADO,34,82144.0,APROVADO
144,28,10228.33,550,2,58.89,NÃO,CLT,SOLTEIRO,19,289569.0,REPROVADO
145,68,14503.6,459,11,285.24,SIM,CLT,CASADO,37,292016.0,APROVADO
146,34,9584.69,596,22,50.39,NÃO,CLT,CASADO,29,291418.0,APROVADO
147,25,1000.0,313,10,958.53,NÃO,CLT,SOLTEIRO,32,203344.0,REPROVADO
148,52,1000.0,883,28,1239.58,SIM,DESEMPREGADO,SOLTEIRO,23,13799.0,REPROVADO
149,52,1000.0,565,5,368.58,NÃO,CLT,SOLTEIRO,30,39206.0,REPROVADO
150,50,1000.0,581,15,1923.13,NÃO,CLT,DIVORCIADO,15,236569.0,REPROVADO
151,76,20000.0,371,33,602.96,NÃO,CLT,DIVORCIADO,39,152342.0,REPROVADO
152,22,2201.67,225,36,6426.26,NÃO,CLT,SOLTEIRO,15,85919.0,REPROVADO
153,59,20000.0,401,10,0.4,NÃO,AUTÔNOMO,SOLTEIRO,26,218568.0,REPROVADO
154,56,20000.0,323,10,115.96,NÃO,CLT,CASADO,35,249366.0,APROVADO
155,75,3068.4,879,24,359.24,NÃO,CLT,CASADO,21,221433.0,APROVADO
156,58,1000.0,867,18,25.84,NÃO,DESEMPREGADO,SOLTEIRO,14,164230.0,REPROVADO
157,45,1000.0,680,31,1524.82,NÃO,AUTÔNOMO,DIVORCIADO,0,215930.0,APROVADO
158,24,1000.0,627,7,54.22,NÃO,CLT,DIVORCIADO,27,28603.0,REPROVADO
159,26,1000.0,235,11,1382.22,NÃO,DESEMPREGADO,SOLTEIRO,32,102156.0,REPROVADO
160,25,1000.0,857,40,54.0,NÃO,AUTÔNOMO,CASADO,35,25600.0,APROVADO
161,29,1000.0,590,34,291.33,NÃO,DESEMPREGADO,SOLTEIRO,14,210834.0,APROVADO
162,51,1000.0,677,5,1840.59,NÃO,CLT,CASADO,30,81421.0,APROVADO
163,50,1000.0,621,20,3017.88,NÃO,DESEMPREGADO,CASADO,5,277613.0,APROVADO
164,65,1000.0,617,25,535.33,SIM,CLT,CASADO,3,95790.0,REPROVADO
165,72,5918.64,937,0,3504.53,NÃO,CLT,CASADO,19,20719.0,REPROVADO
166,40,20000.0,761,16,985.86,NÃO,CLT,DIVORCIADO,3,231921.0,REPROVADO
167,79,20000.0,706,34,537.57,NÃO,CLT,CASADO,9,265458.0,APROVADO
168,41,15073.19,651,26,1623.54,NÃO,CLT,SOLTEIRO,6,81764.0,REPROVADO
169,54,15508.86,370,1,350.02,SIM,CLT,SOLTEIRO,26,262572.0,APROVADO
170,52,1000.0,334,35,308.97,NÃO,CLT,CASADO,5,135873.0,REPROVADO
171,61,1000.0,454,0,1068.71,NÃO,CLT,SOLTEIRO,30,286824.0,REPROVADO
172,57,1000.0,924,9,495.1,NÃO,DESEMPREGADO,SOLTEIRO,35,95577.0,REPROVADO
173,39,1000.0,595,30,146.09,NÃO,AUTÔNOMO,CASADO,26,19322.0,REPROVADO
174,44,5094.09,673,36,69.31,NÃO,CLT,SOLTEIRO,12,13610.0,REPROVADO
175,52,20000.0,671,4,1550.43,SIM,AUTÔNOMO,CASADO,10,10833.0,REPROVADO
176,18,20000.0,426,40,1126.74,NÃO,CLT,SOLTEIRO,8,94814.0,APROVADO
177,52,3292.49,714,12,530.69,NÃO,CLT,CASADO,7,44634.0,REPROVADO
178,54,1000.0,528,23,2265.56,NÃO,CLT,CASADO,9,207738.0,APROVADO
179,64,3253.58,457,26,529.09,SIM,CLT,DIVORCIADO,1,60432.0,REPROVADO
180,31,3797.21,455,0,1238.89,NÃO,CLT,SOLTEIRO,23,190126.0,APROVADO
181,20,15577.56,717,19,2398.16,SIM,CLT,CASADO,34,245689.0,REPROVADO
182,18,1616.07,281,7,1837.06,NÃO,CLT,CASADO,33,287220.0,APROVADO
183,22,3330.43,437,2,715.61,SIM,CLT,DIVORCIADO,10,156263.0,APROVADO
184,43,1000.0,208,31,1141.42,SIM,CLT,SOLTEIRO,0,79407.0,REPROVADO
185,72,1000.0,579,24,533.87,NÃO,AUTÔNOMO,SOLTEIRO,4,261777.0,REPROVADO
186,80,12265.16,577,24,1041.85,NÃO,CLT,SOLTEIRO,26,242763.0,APROVADO
187,31,1000.0,804,13,297.8,NÃO,CLT,CASADO,6,18050.0,REPROVADO
188,56,1000.0,284,26,570.47,NÃO,DESEMPREGADO,CASADO,36,67449.0,REPROVADO
189,44,15758.69,619,31,235.15,NÃO,AUTÔNOMO,CASADO,37,38258.0,APROVADO
190,26,20000.0,984,26,38.93,NÃO,AUTÔNOMO,SOLTEIRO,0,167475.0,APROVADO
191,32,1000.0,914,3,888.04,NÃO,CLT,CASADO,31,289779.0,APROVADO
192,32,20000.0,226,38,1998.26,NÃO,AUTÔNOMO,CASADO,16,188645.0,APROVADO
193,43,20000.0,582,10,25.91,NÃO,CLT,CASADO,17,277640.0,APROVADO
194,59,1000.0,762,2,218.19,SIM,AUTÔNOMO,CASADO,3,298300.0,APROVADO
195,77,1000.0,480,24,616.53,NÃO,AUTÔNOMO,CASADO,12,210378.0,REPROVADO
196,30,1000.0,492,23,1096.31,NÃO,CLT,SOLTEIRO,4,240936.0,APROVADO
197,68,1000.0,945,8,187.81,NÃO,CLT,DIVORCIADO,21,63710.0,REPROVADO
198,80,20000.0,590,7,58.37,NÃO,CLT,SOLTEIRO,25,127200.0,REPROVADO
199,49,1000.0,533,38,731.99,NÃO,CLT,DIVORCIADO,3,258159.0,REPROVADO
200,56,20000.0,707,30,1707.66,SIM,CLT,CASADO,22,35589.0,REPROVADO
201,66,1000.0,566,16,35.87,NÃO,CLT,CASADO,4,243599.0,REPROVADO
202,69,1000.0,354,30,429.81,NÃO,CLT,SOLTEIRO,8,294262.0,REPROVADO
203,78,12476.07,202,3,1089.2,NÃO,AUTÔNOMO,DIVORCIADO,12,71883.0,APROVADO
204,49,20000.0,214,3,140.12,NÃO,CLT,SOLTEIRO,8,276261.0,APROVADO
205,21,5573.29,925,36,269.12,NÃO,DESEMPREGADO,CASADO,3,229820.0,APROVADO
206,47,10702.12,312,7,766.78,NÃO,AUTÔNOMO,CASADO,25,29000.0,APROVADO
207,54,20000.0,318,5,3062.55,NÃO,DESEMPREGADO,SOLTEIRO,13,223778.0,REPROVADO
208,40,20000.0,823,8,338.75,NÃO,AUTÔNOMO,DIVORCIADO,1,146068.0,REPROVADO
209,56,2618.54,736,7,668.51,NÃO,CLT,CASADO,30,107534.0,REPROVADO
210,62,1000.0,784,31,510.71,NÃO,CLT,CASADO,25,96087.0,REPROVADO
211,32,20000.0,498,14,2276.88,NÃO,AUTÔNOMO,DIVORCIADO,1,124194.0,REPROVADO
212,60,18586.51,625,17,74.6,SIM,CLT,CASADO,40,294643.0,REPROVADO
213,46,10371.95,371,22,835.05,NÃO,CLT,CASADO,36,63679.0,APROVADO
214,53,1000.0,777,4,1871.58,NÃO,AUTÔNOMO,CASADO,1,91285.0,APROVADO
215,30,1000.0,805,26,4432.7,NÃO,AUTÔNOMO,CASADO,39,42248.0,APROVADO
216,49,1000.0,933,32,1199.73,SIM,CLT,SOLTEIRO,27,282286.0,REPROVADO
217,24,1000.0,232,1,477.93,NÃO,CLT,SOLTEIRO,22,236746.0,REPROVADO
218,76,1000.0,593,37,530.73,SIM,CLT,SOLTEIRO,6,136925.0,REPROVADO
219,68,7304.24,794,27,433.37,NÃO,CLT,SOLTEIRO,38,142902.0,REPROVADO
220,39,1000.0,845,23,925.36,SIM,DESEMPREGADO,CASADO,39,265786.0,REPROVADO
221,45,5547.76,955,20,1344.79,SIM,AUTÔNOMO,SOLTEIRO,21,75632.0,REPROVADO
222,19,1000.0,779,30,1711.84,NÃO,CLT,SOLTEIRO,35,81273.0,REPROVADO
223,59,1000.0,452,10,538.87,SIM,CLT,CASADO,0,177224.0,REPROVADO
224,62,20000.0,259,27,1261.28,SIM,AUTÔNOMO,DIVORCIADO,33,280334.0,APROVADO
225,79,1000.0,850,39,2479.59,SIM,CLT,SOLTEIRO,3,131766.0,REPROVADO
226,74,13842.63,481,3,2536.09,SIM,CLT,CASADO,40,194702.0,APROVADO
227,70,1000.0,403,15,1217.49,NÃO,CLT,CASADO,34,145616.0,APROVADO
228,23,17516.49,336,11,1013.08,SIM,AUTÔNOMO,SOLTEIRO,30,64764.0,REPROVADO
229,45,1000.0,214,21,758.27,NÃO,AUTÔNOMO,SOLTEIRO,32,264183.0,REPROVADO
230,45,1000.0,512,34,202.36,NÃO,CLT,CASADO,4,120698.0,REPROVADO
231,61,3087.08,298,15,131.97,NÃO,AUTÔNOMO,SOLTEIRO,10,8295.0,APROVADO
232,61,1000.0,882,23,664.97,NÃO,DESEMPREGADO,CASADO,31,299641.0,REPROVADO
233,37,20000.0,440,34,173.69,NÃO,CLT,CASADO,0,54503.0,REPROVADO
234,47,20000.0,671,27,860.38,NÃO,CLT,CASADO,5,267071.0,REPROVADO
235,79,1000.0,904,28,1037.62,SIM,AUTÔNOMO,SOLTEIRO,27,237527.0,REPROVADO
236,28,12484.61,871,20,745.74,NÃO,CLT,CASADO,16,169005.0,REPROVADO
237,75,17578.99,364,24,37.11,NÃO,CLT,SOLTEIRO,10,29999.0,REPROVADO
238,72,1000.0,536,38,59.46,NÃO,CLT,CASADO,40,64804.0,REPROVADO
239,45,1000.0,359,30,120.3,NÃO,CLT,SOLTEIRO,26,299356.0,REPROVADO
240,42,20000.0,191,14,166.82,NÃO,CLT,CASADO,11,208428.0,APROVADO
241,56,1000.0,835,34,4593.5,NÃO,CLT,CASADO,12,117262.0,REPROVADO
242,79,1000.0,828,37,422.35,NÃO,CLT,CASADO,30,239729.0,REPROVADO
243,50,20000.0,747,21,345.27,NÃO,CLT,SOLTEIRO,34,81236.0,APROVADO
244,18,14201.79,895,4,53.68,NÃO,AUTÔNOMO,CASADO,24,297350.0,APROVADO
245,74,7148.86,551,12,1008.74,NÃO,CLT,SOLTEIRO,29,98065.0,REPROVADO
246,44,1000.0,910,31,1056.1,NÃO,AUTÔNOMO,CASADO,35,214079.0,REPROVADO
247,79,18056.88,485,2,192.92,NÃO,CLT,SOLTEIRO,20,19102.0,APROVADO
248,74,20000.0,759,14,2516.29,NÃO,CLT,SOLTEIRO,35,90431.0,REPROVADO
249,69,19611.03,779,26,1611.91,NÃO,CLT,CASADO,27,132975.0,REPROVADO
250,30,11922.27,391,26,261.78,NÃO,CLT,SOLTEIRO,26,72811.0,REPROVADO
251,58,16422.58,478,29,665.24,NÃO,CLT,CASADO,11,237864.0,REPROVADO
252,20,1000.0,251,5,613.21,SIM,CLT,SOLTEIRO,9,220980.0,REPROVADO
253,56,1000.0,691,24,428.51,NÃO,CLT,SOLTEIRO,25,112898.0,REPROVADO
254,23,1000.0,969,27,1701.74,NÃO,AUTÔNOMO,SOLTEIRO,28,111401.0,REPROVADO
255,25,1000.0,315,21,115.71,NÃO,CLT,CASADO,5,146189.0,REPROVADO
256,44,1000.0,238,3,536.68,NÃO,DESEMPREGADO,CASADO,24,292351.0,APROVADO
257,26,1000.0,789,14,558.67,NÃO,AUTÔNOMO,CASADO,7,252497.0,APROVADO
258,79,1000.0,962,25,632.48,NÃO,AUTÔNOMO,SOLTEIRO,10,26669.0,APROVADO
259,54,1000.0,368,17,1975.8,SIM,CLT,CASADO,16,151523.0,REPROVADO
260,50,6860.48,770,8,246.11,NÃO,CLT,CASADO,37,270643.0,REPROVADO
261,68,3575.94,682,3,108.61,NÃO,DESEMPREGADO,SOLTEIRO,12,189062.0,APROVADO
262,59,5347.42,622,4,961.83,NÃO,CLT,SOLTEIRO,40,236176.0,REPROVADO
263,61,20000.0,761,5,190.96,NÃO,CLT,CASADO,14,17483.0,REPROVADO
264,41,3534.76,491,11,77.89,NÃO,AUTÔNOMO,CASADO,18,276973.0,REPROVADO
265,32,20000.0,950,30,556.26,SIM,CLT,CASADO,18,15490.0,REPROVADO
266,76,9054.14,358,8,248.01,NÃO,CLT,SOLTEIRO,9,284072.0,REPROVADO
267,71,1000.0,458,6,448.19,NÃO,CLT,SOLTEIRO,27,31742.0,REPROVADO
268,49,20000.0,553,28,300.71,NÃO,DESEMPREGADO,SOLTEIRO,36,32106.0,APROVADO
269,49,1000.0,813,13,97.21,NÃO,DESEMPREGADO,DIVORCIADO,24,63364.0,APROVADO
270,41,1000.0,289,19,821.77,NÃO,AUTÔNOMO,CASADO,14,222675.0,REPROVADO
271,58,1919.93,404,31,27.39,NÃO,AUTÔNOMO,CASADO,34,277546.0,REPROVADO
272,69,1000.0,814,21,3392.5,SIM,CLT,CASADO,15,257905.0,APROVADO
273,66,20000.0,286,35,417.53,NÃO,CLT,CASADO,36,120060.0,REPROVADO
274,79,1000.0,819,17,1187.96,SIM,CLT,SOLTEIRO,26,85528.0,REPROVADO
275,66,1000.0,737,39,1662.64,NÃO,CLT,CASADO,4,148328.0,APROVADO
276,75,20000.0,526,24,327.26,NÃO,CLT,CASADO,23,34985.0,REPROVADO
277,69,9888.57,548,30,1381.26,SIM,CLT,SOLTEIRO,1,200667.0,APROVADO
278,29,1000.0,479,34,1786.3,NÃO,CLT,SOLTEIRO,39,249185.0,REPROVADO
279,79,1000.0,585,25,276.17,NÃO,CLT,SOLTEIRO,34,91077.0,APROVADO
280,56,9035.27,549,3,4892.14,NÃO,CLT,SOLTEIRO,32,40429.0,APROVADO
281,19,1413.95,536,19,20.91,SIM,AUTÔNOMO,CASADO,31,173369.0,REPROVADO
